Wall time,Step,Value
1740145086.3852797,500,8.0
1740145162.0002823,1001,10.0
1740145240.3508236,1502,8.0
1740145608.7791917,2003,7.5
1740145690.7022407,2504,8.0
1740145774.0771298,3005,9.0
1740145854.583082,3506,7.5
1740145940.9385257,4007,4.5
1740146021.2523236,4508,8.0
1740146642.0703535,5009,8.5
1740146724.5792375,5510,8.5
1740146813.2276142,6011,8.5
1740147218.177764,6512,2.5
1740147336.21169,7013,1.0
1740147454.7108924,7514,1.5
1740149095.088306,8015,8.0
1740149164.0709372,8516,9.5
1740149238.3104036,9017,8.0
1740150088.8260915,9518,8.5
1740150172.124568,10019,9.5
1740150253.02409,10520,9.5
1740150841.7362337,11021,5.5
1740150945.3267107,11522,1.5
1740151049.321914,12023,1.0
1740153307.8705804,12524,1.0
1740153403.8065205,13025,-0.5
1740153498.7118776,13526,2.0
1740153572.4175525,14027,9.0
1740153646.4748423,14528,7.5
1740153723.235286,15029,9.0
1740153796.9416652,15530,9.0
1740153871.704921,16031,9.5
1740153948.3147762,16532,8.5
1740154025.6776133,17033,8.5
1740154104.7475173,17534,10.0
1740154181.330546,18035,9.0
1740155313.1309545,18536,9.5
1740155391.763676,19037,7.5
1740155472.993136,19538,9.0
1740155566.4125974,20039,2.0
1740155657.3723557,20540,0.0
1740155751.373606,21041,-2.0
1740155831.3936965,21542,9.5
1740155912.4018133,22043,10.0
1740155998.9031937,22544,8.5
1740156608.963058,23045,-1.5
1740156702.899823,23546,2.0
1740156796.8440523,24047,-0.5
1740158514.7358902,24548,6.5
1740158595.535217,25049,9.0
1740158672.72993,25550,8.0
1740158758.663939,26051,10.0
1740158840.5390532,26552,9.0
1740158928.2380047,27053,9.0
1740161428.446532,27554,9.5
1740161512.5003479,28055,8.5
1740161593.9461584,28556,9.5
1740162527.6265037,29057,8.5
1740162609.2697477,29558,10.0
1740162689.2647877,30059,10.0
1740163266.5413034,30560,1.0
1740163353.2760508,31061,5.0
1740163444.2278287,31562,5.0
1740163523.8165977,32063,9.5
1740163604.8383813,32564,10.0
1740163681.5930266,33065,9.0
1740164779.4741666,33566,8.5
1740164851.2840087,34067,10.0
1740164923.8985379,34568,5.5
1740166304.3573096,35069,3.0
1740166387.6747985,35570,2.0
1740166467.274247,36071,-1.0
1740166805.7113297,36572,9.5
1740166876.4342341,37073,10.0
1740166948.1799145,37574,7.0
1740168783.5228276,38075,5.0
1740168852.7969515,38576,8.0
1740168922.3905206,39077,8.0
1740169254.2622833,39578,8.0
1740169329.2041285,40079,10.0
1740169402.5234473,40580,10.0
1740169479.8968675,41081,5.5
1740169555.7185695,41582,9.5
1740169628.1557803,42083,5.0
1740169959.9931028,42584,8.0
1740170035.7837882,43085,8.5
1740170111.5028799,43586,9.5
1740172155.0416355,44087,8.5
1740172226.3320565,44588,7.0
1740172299.4581463,45089,10.0
1740173085.1459088,45590,8.5
1740173153.9971385,46091,9.5
1740173223.6254394,46592,8.0
1740174771.9424608,47093,6.5
1740174847.9457188,47594,6.5
1740174920.190191,48095,6.0
1740175255.672613,48596,4.0
1740175333.985228,49097,2.5
1740175413.9276597,49598,1.5
1740175939.4018393,50099,-2.0
1740176017.8361151,50600,-1.0
1740176100.8190234,51101,2.0
1740176183.746616,51602,2.5
1740176267.5574994,52103,6.0
1740176350.1260567,52604,3.5
1740177932.8598921,53105,4.0
1740178023.670527,53606,5.5
1740178113.9387252,54107,5.5
1740178689.5816696,54608,0.0
1740178771.528412,55109,-0.5
1740178852.3402777,55610,0.5
1740181494.556974,56111,10.0
1740181569.7910945,56612,8.5
1740181646.382013,57113,9.0
1740181726.804988,57614,1.0
1740181810.493275,58115,1.0
1740181895.2203271,58616,-2.5
1740181972.8195708,59117,7.0
1740182049.3222313,59618,7.5
1740182126.9910748,60119,8.0
1740184058.7160683,60620,9.5
1740184134.1088123,61121,7.0
1740184212.2385232,61622,8.0
1740184286.0053964,62123,9.5
1740184358.3597164,62624,8.5
1740184434.6769612,63125,7.0
1740184511.4712703,63626,9.0
1740184588.6121798,64127,8.5
1740184666.0223606,64628,9.5
1740187046.3947103,65129,8.5
1740187125.0684636,65630,8.5
1740187199.76586,66131,9.0
1740187715.633922,66632,9.0
1740187788.2776692,67133,9.5
1740187861.3555975,67634,8.0
1740190228.2919676,68135,9.0
1740190299.3431134,68636,9.5
1740190368.8346097,69137,8.5
1740190441.861083,69638,9.0
1740190514.5233293,70139,8.0
1740190586.2387996,70640,8.0
1740192026.6089187,71141,9.0
1740192103.3359244,71642,9.5
1740192178.544652,72143,8.5
1740192721.0004017,72644,6.0
1740192804.560586,73145,5.0
1740192892.340841,73646,1.5
1740193698.374255,74147,9.5
1740193773.0235505,74648,9.0
1740193850.6905,75149,9.5
1740194938.3276103,75650,-3.0
1740195015.715532,76151,3.0
1740195097.415899,76652,2.0
1740195441.3583136,77153,9.0
1740195515.1582584,77654,8.5
1740195588.490742,78155,8.5
1740195660.8671098,78656,8.0
1740195733.6259432,79157,8.0
1740195807.769553,79658,9.0
1740197526.8161163,80159,8.0
1740197600.558243,80660,6.5
1740197672.5170395,81161,9.0
1740198020.8923936,81662,9.0
1740198096.6637664,82163,9.5
1740198166.443501,82664,10.0
1740198238.335172,83165,9.0
1740198309.9206672,83666,9.0
1740198382.1807303,84167,10.0
1740202706.636413,84668,-2.0
1740202787.5289128,85169,-1.0
1740202865.3770833,85670,5.0
1740204327.082883,86171,7.5
1740204400.3768816,86672,9.0
1740204474.6645734,87173,9.5
1740205465.5765321,87674,3.0
1740205544.3570662,88175,-2.0
1740205628.1103754,88676,0.0
1740205707.9487295,89177,8.0
1740205784.8513236,89678,9.5
1740205859.8550477,90179,9.5
1740206671.4239745,90680,8.5
1740206748.6952412,91181,10.0
1740206823.3380573,91682,6.5
1740207819.2066827,92183,1.0
1740207896.632891,92684,-3.0
1740207975.131325,93185,3.5
1740208053.445367,93686,8.5
1740208131.9578006,94187,8.5
1740208205.5016956,94688,7.5
1740209925.8985314,95189,7.5
1740209999.7032008,95690,7.0
1740210074.9669292,96191,9.5
1740210148.755258,96692,8.5
1740210226.4153523,97193,8.0
1740210300.4743395,97694,9.0
1740210907.0695772,98195,9.5
1740210970.8356795,98696,8.0
1740211035.7153335,99197,10.0
1740212306.7259762,99698,9.0
1740212393.734858,100199,8.5
1740212481.6002069,100700,8.0
1740213538.0841858,101201,5.0
1740213642.77502,101702,5.0
1740213749.0930963,102203,1.0
1740213856.7874262,102704,2.0
1740213964.234151,103205,2.0
1740214071.665008,103706,1.0
1740217361.2338402,104207,9.5
1740217462.4729266,104708,10.0
1740217566.649229,105209,8.0
1740219024.9112248,105710,-3.0
1740219132.6620293,106211,-2.5
1740219247.4984522,106712,1.0
1740220632.7475553,107213,8.0
1740220729.9933696,107714,10.0
1740220834.0468748,108215,8.0
1740220948.5938497,108716,2.5
1740221067.5217988,109217,1.5
1740221185.034499,109718,4.0
1740223766.3298814,110219,7.0
1740223870.8362918,110720,8.0
1740223977.2501895,111221,9.0
1740225510.6721697,111722,5.0
1740225636.815803,112223,6.0
1740225757.2045102,112724,5.5
1740227195.7754936,113225,8.0
1740227299.895149,113726,8.0
1740227403.6092126,114227,9.5
1740229278.8255699,114728,9.0
1740229378.8421981,115229,6.5
1740229478.060661,115730,9.5
1740230576.8919365,116231,9.0
1740230676.113685,116732,9.5
1740230777.726003,117233,7.5
1740233419.2841413,117734,7.0
1740233538.0995002,118235,5.0
1740233659.8849928,118736,6.0
1740233762.5156517,119237,9.0
1740233859.3875432,119738,8.5
1740233959.0326219,120239,8.5
1740234059.397797,120740,8.5
1740234156.8186374,121241,8.5
1740234252.807389,121742,6.5
1740236278.6322591,122243,7.0
1740236365.2404394,122744,9.5
1740236454.9598925,123245,10.0
1740237984.1820846,123746,1.5
1740238111.7003517,124247,4.0
1740238231.223266,124748,2.0
1740239514.2508328,125249,9.0
1740239622.79575,125750,8.5
1740239730.0573435,126251,9.0
1740241202.3710406,126752,9.0
1740241299.7093134,127253,10.0
1740241401.0851517,127754,9.0
1740242363.925265,128255,10.0
1740242462.6338902,128756,9.0
1740242559.9774415,129257,9.0
1740242661.6985316,129758,8.5
1740242762.431238,130259,9.5
1740242871.8104546,130760,9.0
1740244054.9225175,131261,7.0
1740244167.7215862,131762,6.0
1740244277.1148603,132263,10.0
1740244389.7239492,132764,7.5
1740244507.1701317,133265,7.5
1740244622.5373268,133766,7.0
1740245595.4041176,134267,5.5
1740245713.8075294,134768,8.5
1740245847.1462052,135269,6.0
1740249870.5060203,135770,9.0
1740249966.1767423,136271,9.5
1740250060.4618142,136772,7.0
1740251848.5519834,137273,7.5
1740251962.8223913,137774,6.5
1740252076.343447,138275,6.0
1740252831.8479111,138776,6.0
1740252939.5025897,139277,6.5
1740253053.1059933,139778,6.0
1740254778.430847,140279,8.5
1740254868.696115,140780,9.0
1740254962.920611,141281,8.5
1740255866.3872027,141782,9.0
1740255955.4097452,142283,9.5
1740256043.782083,142784,9.5
1740256681.6544888,143285,8.5
1740256767.7924767,143786,8.5
1740256855.8787317,144287,9.0
1740258066.528743,144788,10.0
1740258161.2627168,145289,9.5
1740258248.6817648,145790,9.0
