Wall time,Step,Value
1740143721.4217443,500,-7.0
1740143912.4932678,1001,-5.0
1740144111.6448019,1502,-5.0
1740144308.5720239,2003,-1.0
1740144498.4223692,2504,-1.5
1740144677.6791534,3005,1.0
1740146203.4340644,3506,1.5
1740146382.035541,4007,-1.5
1740146562.5461912,4508,0.0
1740147622.014748,5009,4.0
1740147789.5018368,5510,7.0
1740147957.6843293,6011,2.5
1740148692.6819403,6512,-1.0
1740148855.2053325,7013,0.5
1740149018.461833,7514,3.0
1740149398.150215,8015,5.0
1740149560.0247967,8516,7.0
1740149724.4960473,9017,4.5
1740150414.8784802,9518,6.0
1740150578.9962378,10019,6.5
1740150741.513015,10520,4.0
1740151488.67482,11021,7.5
1740151650.086801,11522,5.5
1740151815.6155784,12023,7.0
1740152272.489129,12524,-4.5
1740152464.6563382,13025,-0.5
1740152653.329192,13526,-1.5
1740152837.641668,14027,-2.5
1740153019.7341342,14528,3.0
1740153210.2491653,15029,-0.5
1740154632.726792,15530,8.0
1740154795.289312,16031,7.0
1740154957.6696641,16532,6.5
1740156170.7584362,17033,1.0
1740156342.8288362,17534,0.5
1740156512.9340963,18035,2.0
1740157603.9778285,18536,1.0
1740157770.8369079,19037,7.5
1740157936.9413502,19538,5.5
1740158102.8844957,20039,2.0
1740158268.188277,20540,3.5
1740158435.0562434,21041,2.5
1740159385.4934876,21542,-2.0
1740159567.1923203,22043,-2.5
1740159749.3748434,22544,2.5
1740160191.9505591,23045,5.5
1740160355.544677,23546,5.5
1740160518.3566775,24047,6.0
1740161782.7993631,24548,-2.5
1740161970.3741179,25049,2.5
1740162148.3243086,25550,-0.5
1740162850.4064806,26051,9.0
1740163012.0138788,26552,8.0
1740163175.4371314,27053,7.5
1740163847.573821,27554,3.0
1740164015.7266302,28055,4.0
1740164184.973495,28556,4.0
1740164365.6881235,29057,1.0
1740164535.4057453,29558,-5.0
1740164704.0928638,30059,-2.0
1740165385.8392534,30560,4.5
1740165540.6463647,31061,4.0
1740165696.7048407,31562,-2.0
1740167949.2057638,32063,2.5
