Wall time,Step,Value
1740143332.9357972,510,0.5
1740143431.1413531,1011,0.5
1740143536.03174,1512,1.0
1740144786.4650161,2013,-5.0
1740144896.5683439,2514,-5.5
1740145012.2872217,3015,-6.0
1740145334.3744252,3516,2.5
1740145428.9154165,4017,5.0
1740145524.3011663,4518,5.0
1740146908.0332448,5019,5.5
1740147003.4718902,5520,5.5
1740147099.6985753,6021,4.0
1740148050.9440675,6522,3.5
1740148147.1955888,7023,6.0
1740148240.4430225,7524,6.5
1740148335.0683737,8025,3.5
1740148430.2952788,8526,2.0
1740148519.5622249,9027,7.5
1740149817.4628937,9528,7.0
1740149910.396319,10029,9.0
1740150004.5599546,10530,5.5
1740151141.238934,11031,9.5
1740151233.6540034,11532,5.0
1740151324.6541808,12033,8.0
1740151909.9356802,12534,5.0
1740152001.2343638,13035,7.0
1740152092.7297096,13536,9.0
1740154277.8050482,14037,3.0
1740154374.7921462,14538,6.5
1740154470.9415781,15039,4.0
1740155050.0071862,15540,8.5
1740155140.756992,16041,8.5
1740155232.8214452,16542,7.5
1740156889.194715,17043,6.5
1740156981.0858514,17544,7.0
1740157074.7164514,18045,7.5
1740157202.1474853,18546,0.0
1740157320.2046945,19047,2.5
1740157433.2808502,19548,-2.5
1740159021.3504155,20049,6.0
1740159111.7512932,20550,8.5
1740159204.4846554,21051,7.5
1740159841.9593492,21552,9.0
1740159933.559544,22053,7.5
1740160028.4422023,22554,9.5
1740160611.6257672,23055,9.5
1740160703.0218978,23556,10.0
1740160795.8157144,24057,10.0
1740160887.637371,24558,10.0
1740160978.7291076,25059,8.0
1740161071.1830597,25560,9.0
1740161164.035902,26061,7.5
1740161254.222264,26562,9.0
1740161345.3140464,27063,10.0
1740162246.8655639,27564,5.0
1740162344.3556693,28065,3.5
1740162441.4876065,28566,1.5
1740165026.3490098,29067,-5.0
1740165126.3468137,29568,-1.0
1740165232.232897,30069,-4.0
1740165785.4249983,30570,3.5
1740165872.461733,31071,2.5
1740165960.4104898,31572,2.5
1740166048.415382,32073,2.5
1740166134.2677746,32574,8.0
1740166222.3920426,33075,3.0
1740166555.8808255,33576,-0.5
1740166643.6135626,34077,0.5
1740166731.7097523,34578,0.0
1740167036.6429634,35079,3.5
1740167122.8566277,35580,-0.5
1740167208.5130115,36081,2.0
1740167313.2105606,36582,-1.5
1740167416.5675662,37083,-3.5
1740167522.7301362,37584,-6.0
1740167608.2219539,38085,0.5
1740167694.098664,38586,-3.5
1740167781.2309918,39087,1.5
1740169007.7953243,39588,2.0
1740169091.7863765,40089,2.0
1740169178.5181968,40590,7.5
1740169712.955244,41091,7.0
1740169800.311686,41592,7.5
1740169886.1661787,42093,6.5
1740170200.949961,42594,3.0
1740170287.257181,43095,3.0
1740170375.8390307,43596,5.0
1740171429.7827282,44097,-6.0
1740171538.2621071,44598,-3.0
1740171642.875104,45099,-4.0
1740172838.2182934,45600,1.0
1740172925.4761133,46101,6.0
1740173013.0730112,46602,0.0
1740173310.539125,47103,2.5
1740173398.718238,47604,2.0
1740173488.7186317,48105,1.5
1740174046.871655,48606,1.5
1740174134.2070928,49107,3.0
1740174221.6092505,49608,1.5
1740175006.4156075,50109,2.5
1740175091.263002,50610,4.0
1740175178.666627,51111,3.5
1740176440.2673779,51612,4.0
1740176529.0461297,52113,0.5
1740176620.0910637,52614,-0.5
1740177150.377436,53115,5.0
1740177235.5452476,53616,3.5
1740177322.901351,54117,3.0
1740177408.5785744,54618,5.0
1740177495.7788117,55119,3.5
1740177581.2681348,55620,3.0
1740177667.895705,56121,3.5
1740177754.2808938,56622,4.5
1740177842.7080393,57123,8.5
1740180292.1770377,57624,6.5
1740180376.216892,58125,6.0
1740180460.965384,58626,6.5
1740180984.049896,59127,6.0
1740181069.9694097,59628,5.5
1740181155.7595396,60129,7.0
1740181244.5151393,60630,2.5
1740181332.0809584,61131,2.5
1740181420.2768357,61632,2.0
1740182235.5128899,62133,-5.5
1740182349.3204083,62634,-5.5
1740182454.94319,63135,-6.5
1740183012.4880452,63636,0.0
1740183100.3352122,64137,2.5
1740183188.5783834,64638,2.0
1740183281.5354874,65139,-8.0
1740183372.5090523,65640,-4.0
1740183465.5188015,66141,-6.0
1740183552.8292825,66642,6.5
1740183637.0747123,67143,2.0
1740183725.1251717,67644,7.5
1740183811.0111146,68145,5.5
1740183895.2339902,68646,6.0
1740183981.619762,69147,5.5
1740184755.496165,69648,1.5
1740184844.4227085,70149,5.5
1740184933.837812,70650,1.5
1740185023.7194703,71151,6.5
1740185111.2988007,71652,0.5
1740185200.9882052,72153,2.0
1740185290.8041778,72654,3.5
1740185381.5272613,73155,6.5
1740185470.8572009,73656,3.0
1740185558.3613713,74157,6.0
1740185644.6269066,74658,5.0
1740185731.7946484,75159,6.0
1740185818.9423344,75660,7.0
1740185905.814034,76161,8.5
1740185993.1520672,76662,4.5
1740186537.7783196,77163,8.0
1740186623.9323123,77664,1.5
1740186710.1143975,78165,6.5
1740186797.5954049,78666,5.5
1740186883.765277,79167,5.0
1740186969.5380442,79668,8.5
1740187967.3890636,80169,-4.5
1740188065.1963046,80670,-4.0
1740188163.9779246,81171,-3.5
1740188249.734334,81672,7.0
1740188335.4710531,82173,8.5
1740188421.6048632,82674,8.5
1740189005.5777454,83175,5.5
1740189093.8828137,83676,3.5
1740189183.300554,84177,4.0
1740189269.7545884,84678,5.5
1740189355.5993574,85179,6.5
1740189444.8043497,85680,5.5
1740189975.095937,86181,4.0
1740190065.6152773,86682,4.5
