Wall time,Step,Value
1740211440.4237459,42,0.27726587653160095
1740211478.0342991,94,0.28579309582710266
1740211532.492121,167,0.2122957408428192
1740211578.1902902,229,0.26813673973083496
1740211581.9423387,234,0.2589746117591858
1740211610.7067206,273,0.25633978843688965
1740211637.485419,310,0.14949478209018707
1740211643.2149866,318,0.1919844150543213
1740211759.790325,474,0.19900742173194885
1740211813.8820157,537,0.2303556650876999
1740211846.5086632,580,0.2188849151134491
1740211851.3144479,587,0.19110774993896484
1740211886.9735782,635,0.2211681753396988
1740211896.7211509,648,0.14613521099090576
1740211948.2302933,715,0.19865524768829346
1740212018.2930744,809,0.18117594718933105
1740212185.1662226,1016,0.1931706666946411
1740212222.5312567,1068,0.23152798414230347
1740212417.7499087,1335,0.22900298237800598
1740212420.388659,1339,0.18122771382331848
1740212455.7597935,1387,0.144709974527359
1740212461.176968,1394,0.1850864738225937
1740212493.0336168,1438,0.19476425647735596
1740212696.5240302,1694,0.15712307393550873
1740212732.70645,1737,0.12738193571567535
1740212735.0290616,1740,0.12486812472343445
1740212847.835168,1880,3.883364115608856e-05
1740212880.92605,1920,1.6240199329331517e-05
1740212986.144279,2040,0.0006257838103920221
1740213035.856981,2100,2.273050085932482e-07
1740213118.7937293,2203,9.208633855450898e-10
1740213169.7366977,2266,0.061539869755506516
1740213207.8621886,2311,0.00035889417631551623
1740213274.2615998,2393,3.0269802664406598e-06
1740213313.5547478,2440,6.423453305615112e-05
1740213352.9886892,2489,3.909291990566999e-06
1740213353.7016287,2490,2.7318496904626954e-06
1740213363.3021107,2502,3.3867040656332392e-06
1740213403.7905788,2537,0.7703952789306641
1740213529.4933505,2690,0.0003861439763568342
1740213574.3031838,2745,0.0013264361768960953
1740213823.2614102,3044,1.0002668204833753e-05
1740213977.7613356,3236,0.10250908136367798
1740213991.4491913,3252,8.304968650918454e-05
1740214039.265113,3311,0.00013106661208439618
1740214303.8406136,3625,2.1650521375704557e-07
1740214305.8105705,3627,0.013017105869948864
1740214347.2722049,3677,0.07480188459157944
1740214404.6988943,3748,0.01160372793674469
1740214464.0768933,3821,0.002017362043261528
1740214469.8985217,3828,0.010778906755149364
1740214556.812594,3935,2.933712676167488e-05
1740214580.999971,3963,5.006369974580593e-06
1740214657.084759,4044,4.706220806838246e-06
1740214786.2047486,4204,6.214399945747573e-07
1740214887.8900454,4325,3.3151081879623234e-06
1740214956.992617,4408,0.015303855761885643
1740215031.5113652,4500,2.5478079805907328e-06
1740215045.2202246,4517,3.7327299651224166e-07
1740215190.839969,4685,1.0001208465837408e-06
1740215281.9572225,4797,2.2282620193436742e-11
1740215430.638378,4980,0.04520628601312637
1740215550.967373,5116,6.566551746800542e-10
1740215573.5583668,5144,6.806237797718495e-05
1740215745.9938302,5355,0.0011401904048398137
1740215756.8572812,5369,1.0492663022887427e-06
1740215920.504839,5560,8.610077202320099e-07
1740216025.8987815,5690,2.9103830456733704e-09
1740216060.6335454,5734,0.0003683065588120371
1740216127.0084288,5819,8.74398392625153e-06
1740216174.4686148,5875,0.16647037863731384
1740216180.0507424,5882,0.4065042734146118
1740216209.8563552,5918,0.07357335090637207
1740216278.0249555,6001,0.09660907834768295
1740216462.8185384,6212,0.19368405640125275
1740216477.6551614,6231,0.2367849498987198
1740216534.0142324,6301,0.18739566206932068
1740216779.5933135,6587,0.6816277503967285
1740216803.193372,6616,0.7039412260055542
1740216882.3678963,6712,0.5332885980606079
1740216893.3048396,6724,0.8011002540588379
1740217010.1970875,6867,0.8896495699882507
1740217101.2428489,6979,0.852120578289032
1740217265.9259534,7169,0.9469873905181885
1740217450.1604514,7396,1.0202058553695679
1740217513.013055,7474,0.9609954357147217
1740217515.3263757,7477,0.9413753747940063
1740217560.8089497,7526,1.2477264404296875
1740217786.9855156,7803,1.0275886058807373
1740217795.0131633,7813,0.9566651582717896
1740217823.43025,7848,0.92731112241745
1740217953.8475063,8006,1.1337780952453613
1740218023.0793204,8082,1.1483675241470337
1740218117.1533556,8196,1.0895369052886963
1740218152.6134903,8237,1.1861498355865479
1740218268.0560715,8379,1.1227151155471802
1740218279.614195,8393,1.1753525733947754
1740218378.4173753,8514,1.079269289970398
1740218386.7827072,8524,1.2058687210083008
