Wall time,Step,Value
1740211845.0153093,510,-9.0
1740212247.8861911,1011,-7.5
1740212642.282285,1512,-7.0
1740213064.0008628,2013,-6.5
1740213487.7689285,2514,-9.0
1740213913.0367093,3015,-7.5
1740214347.2932403,3516,-5.5
1740214783.4779174,4017,-6.5
1740215236.4673097,4518,-5.0
1740215689.8775887,5019,-6.0
1740216143.9620438,5520,-5.5
1740216587.4778507,6021,-8.0
1740217027.064207,6522,-5.5
1740217467.3368871,7023,-8.0
1740217916.4222007,7524,-5.5
1740218353.5800292,8025,-3.0
1740218800.585228,8526,-2.5
1740219247.4879386,9027,0.0
1740219691.2325597,9528,-6.0
1740220130.7036293,10029,-3.5
1740220574.4356964,10530,-5.5
1740221014.8270571,11031,-3.5
1740221460.6137495,11532,-6.0
1740221910.9252372,12033,-5.0
1740222356.1348999,12534,-5.5
1740222800.7621806,13035,-8.5
1740223247.3135288,13536,-6.0
1740223691.5831225,14037,-7.0
1740224134.5207477,14538,-3.5
1740224594.2079167,15039,-3.0
1740225043.7718027,15540,-6.0
1740225492.0529304,16041,-3.0
1740225937.290621,16542,-1.0
1740226392.5269318,17043,-3.0
1740226848.7870681,17544,-7.0
1740227307.6983936,18045,-3.5
1740227765.2771475,18546,-3.0
1740228231.0233881,19047,-3.0
1740228688.34064,19548,-3.5
1740229147.2752895,20049,-7.0
1740229601.3418188,20550,-2.5
1740230059.1598253,21051,-1.0
1740230519.7105796,21552,1.0
1740230966.3061419,22053,-0.5
1740231418.2316067,22554,0.0
1740231872.4810846,23055,1.5
1740232331.1753483,23556,-1.0
1740232798.231461,24057,-3.0
1740233266.436009,24558,-3.0
1740233719.6042,25059,3.0
1740234174.2789526,25560,3.5
1740234642.520579,26061,1.0
1740235105.7190642,26562,5.5
1740235575.4066634,27063,3.5
1740235997.1599705,27564,3.5
1740236414.7011912,28065,0.5
1740236842.8353374,28566,2.5
1740237273.2211046,29067,2.0
1740237693.7273705,29568,-1.5
1740238126.8099284,30069,4.0
1740238590.6640887,30570,2.5
1740239041.8716207,31071,5.0
1740239497.0860796,31572,3.5
1740239944.3358135,32073,4.0
1740240404.9450781,32574,3.5
1740240866.0750332,33075,4.0
1740241321.0655272,33576,4.5
1740241774.791121,34077,1.0
1740242226.2593093,34578,3.0
1740242681.8027735,35079,5.0
1740243139.6320302,35580,1.0
1740243600.6228185,36081,5.5
1740244054.6639655,36582,5.5
1740244499.7915606,37083,3.0
1740244963.2238836,37584,4.0
1740245419.3024988,38085,4.5
1740245868.220732,38586,4.0
1740246326.0404208,39087,4.0
1740246773.3088045,39588,4.0
1740247224.4437394,40089,8.5
1740247680.5990348,40590,1.5
1740248136.6992717,41091,5.0
1740248593.5647776,41592,5.5
1740249010.0321352,42093,7.5
1740249428.440976,42594,5.0
1740249839.324071,43095,7.0
1740250243.7268195,43596,6.0
1740250649.9763968,44097,9.0
1740251069.594191,44598,6.5
1740251486.4040527,45099,3.5
1740251895.0006032,45600,6.5
1740252311.266493,46101,4.5
1740252730.4712007,46602,3.0
1740253142.9609504,47103,4.5
1740253556.2635355,47604,7.0
1740253969.4383717,48105,7.5
1740254387.7827103,48606,6.0
1740254796.545658,49107,5.0
1740255209.3828626,49608,8.0
1740255630.345812,50109,6.0
1740256036.8417938,50610,6.5
1740256450.7853942,51111,6.0
1740256854.0181713,51612,7.5
1740257266.4981697,52113,10.0
1740257675.9299643,52614,6.0
1740258081.1561186,53115,8.5
1740258489.6036394,53616,9.5
1740258903.4291255,54117,9.0
1740259317.9333591,54618,8.5
1740259734.3705902,55119,7.0
1740260140.5043964,55620,6.5
1740260548.749904,56121,9.0
1740260961.9320726,56622,6.5
1740261374.1479387,57123,7.0
1740261780.8673935,57624,9.0
1740262183.7387254,58125,8.0
1740262588.4460256,58626,8.5
1740262993.542621,59127,7.0
1740263367.3099768,59628,5.0
1740263743.1521964,60129,5.5
1740264123.920901,60630,7.5
1740264504.0725362,61131,6.0
1740264886.6996186,61632,6.5
1740265262.863948,62133,6.0
1740265630.6278272,62634,7.5
1740265997.4769566,63135,9.0
1740266369.8272312,63636,9.5
1740266742.1371915,64137,5.0
1740267114.232939,64638,8.0
1740267486.40465,65139,5.0
1740267855.3705437,65640,8.0
1740268223.1623154,66141,7.5
1740268592.9366567,66642,7.5
1740268963.6799347,67143,4.0
1740269339.2193024,67644,9.0
1740269712.3571386,68145,9.0
1740270090.853076,68646,5.5
1740270457.18907,69147,7.0
1740270834.9159162,69648,7.5
1740271207.8226702,70149,7.5
1740271574.792957,70650,7.5
1740271945.238066,71151,10.0
1740272314.519048,71652,8.5
1740272687.9962869,72153,8.5
1740273059.688798,72654,7.5
1740273426.9068165,73155,8.0
1740273793.9238584,73656,10.0
1740274159.4916513,74157,10.0
1740274526.773189,74658,9.0
1740274897.0901885,75159,7.0
1740275266.1880352,75660,7.5
1740275636.2435732,76161,6.5
1740276012.2572773,76662,6.0
1740276388.0338004,77163,7.5
1740276760.6743348,77664,7.5
1740277132.349873,78165,9.0
1740277508.7754955,78666,8.5
1740277883.065777,79167,8.0
1740278259.3947537,79668,7.0
1740278632.2580597,80169,8.5
1740279011.2605765,80670,8.0
1740279385.1433134,81171,5.5
1740279765.8256228,81672,6.0
1740280138.8073215,82173,6.5
1740280509.260149,82674,8.0
1740280879.1876438,83175,6.5
1740281248.4360535,83676,7.0
1740281615.596747,84177,7.0
1740281982.0293477,84678,7.5
1740282358.6064203,85179,7.0
1740282736.634632,85680,7.0
1740283107.915632,86181,7.5
1740283482.1390476,86682,9.5
1740283852.5439703,87183,7.0
1740284220.1041458,87684,8.0
1740284586.6802146,88185,9.0
1740284951.8200626,88686,8.0
