Wall time,Step,Value
1740211502.7721162,510,8.0
1740211590.23078,1011,10.0
1740211671.8662477,1512,10.0
1740211758.1269422,2013,9.5
1740211842.4429007,2514,8.5
1740211928.2737696,3015,10.0
1740212016.2054448,3516,10.0
1740212101.4810293,4017,8.0
1740212197.1285071,4518,5.0
1740212293.1757047,5019,5.5
1740212387.6023133,5520,3.0
1740212484.1574388,6021,-0.5
1740212586.1878707,6522,0.5
1740212686.8342924,7023,7.0
1740212790.1726243,7524,8.0
1740212893.0249023,8025,8.0
1740212997.9080143,8526,7.0
1740213108.088065,9027,8.5
1740213212.3765316,9528,10.0
1740213314.8271375,10029,8.0
1740213415.4435544,10530,10.0
1740213519.5959446,11031,7.0
1740213626.2045872,11532,2.0
1740213735.9220455,12033,8.0
1740213848.1035798,12534,1.5
1740213957.4667072,13035,1.0
1740214065.1830173,13536,4.0
1740214174.0301957,14037,4.0
1740214283.3012836,14538,0.0
1740214386.626266,15039,2.0
1740214487.9329965,15540,3.0
1740214597.646715,16041,-2.0
1740214708.0448763,16542,1.0
1740214816.7284079,17043,0.5
1740214925.7571876,17544,0.5
1740215035.264978,18045,0.0
1740215145.3143716,18546,2.0
1740215261.8369033,19047,0.0
1740215378.1827958,19548,5.0
1740215490.0094857,20049,5.0
1740215596.0259147,20550,6.0
1740215710.3633137,21051,3.0
1740215823.176502,21552,5.0
1740215948.1522233,22053,1.5
1740216065.5936782,22554,2.0
1740216189.7843697,23055,3.0
1740216314.5648925,23556,-2.5
1740216434.910041,24057,0.0
1740216554.0548046,24558,1.0
1740216677.595258,25059,-0.5
1740216798.9704375,25560,-1.5
1740216924.5524704,26061,-3.5
1740217049.2420218,26562,-4.0
1740217176.6409268,27063,0.5
1740217295.8124013,27564,5.5
1740217412.3590057,28065,3.0
1740217532.0636313,28566,4.0
1740217655.9724844,29067,2.5
1740217778.397439,29568,1.5
1740217897.2099164,30069,6.0
1740218015.9159143,30570,4.5
1740218133.6816177,31071,2.0
1740218254.5486867,31572,5.0
1740218371.9968195,32073,9.0
1740218496.8060288,32574,7.5
1740218620.6224265,33075,4.5
1740218749.90851,33576,2.0
1740218874.7073605,34077,4.0
1740218998.2078438,34578,4.5
1740219117.8811932,35079,2.0
1740219243.5093417,35580,6.0
1740219366.671568,36081,2.0
1740219494.3574076,36582,5.0
1740219621.0974271,37083,-0.5
