Wall time,Step,Value
1740211794.8476288,510,0.0
1740212181.817099,1011,5.0
1740212558.2422335,1512,8.0
1740212964.6967485,2013,7.0
1740213383.406155,2514,9.0
1740213801.3796387,3015,7.5
1740214216.826644,3516,6.0
1740214635.6892502,4017,7.0
1740215057.052562,4518,6.5
1740215474.253074,5019,7.0
1740215889.9317007,5520,7.5
1740216307.2264466,6021,7.0
1740216722.894721,6522,9.0
1740217148.044803,7023,9.0
1740217559.6550374,7524,7.0
1740217977.311945,8025,7.0
1740218397.3793163,8526,6.0
1740218819.6405268,9027,7.0
1740219235.3847077,9528,8.0
1740219654.0141678,10029,6.0
1740220068.209394,10530,9.0
1740220481.37258,11031,10.0
1740220886.280571,11532,10.0
1740221296.5979204,12033,8.0
1740221712.6260238,12534,7.0
1740222126.9644327,13035,9.0
1740222542.0501747,13536,8.0
1740222958.1257558,14037,9.0
1740223372.1229384,14538,8.0
1740223782.6256628,15039,10.0
1740224192.294469,15540,10.0
1740224605.2296607,16041,10.0
1740225017.5999618,16542,10.0
1740225428.5076077,17043,9.0
1740225834.8663797,17544,10.0
1740226246.7241638,18045,10.0
1740226661.1045356,18546,9.0
1740227072.9638085,19047,9.0
1740227479.2177303,19548,10.0
1740227894.2135108,20049,10.0
1740228309.312474,20550,9.0
1740228726.0775437,21051,10.0
1740229142.7548022,21552,10.0
1740229551.9002433,22053,10.0
1740229963.4223855,22554,10.0
1740230379.2373314,23055,10.0
1740230784.8343017,23556,10.0
1740231201.436829,24057,8.0
1740231612.8921611,24558,10.0
1740232023.3838208,25059,10.0
1740232435.1400182,25560,10.0
1740232847.3628132,26061,10.0
1740233261.4864998,26562,10.0
1740233673.0595312,27063,10.0
1740234078.8807986,27564,9.0
1740234491.3997464,28065,9.0
1740234907.9840558,28566,10.0
1740235321.6530344,29067,9.0
1740235721.9548154,29568,10.0
1740236101.9721532,30069,9.0
1740236478.7689013,30570,8.0
1740236860.483606,31071,10.0
1740237244.5457249,31572,9.0
1740237627.0747607,32073,10.0
1740238012.7146084,32574,9.0
1740238433.0600219,33075,9.0
1740238854.9866934,33576,9.0
1740239272.2053082,34077,10.0
1740239688.957615,34578,10.0
1740240110.4603982,35079,8.0
1740240527.4304688,35580,10.0
1740240954.0597582,36081,7.5
1740241370.1302643,36582,9.0
1740241789.4234629,37083,10.0
1740242207.859246,37584,10.0
1740242618.6324987,38085,8.0
1740243036.9757006,38586,8.5
1740243458.0632634,39087,10.0
1740243881.3104622,39588,9.0
1740244300.118096,40089,9.0
1740244716.224714,40590,8.0
1740245141.8285172,41091,10.0
1740245557.6931927,41592,10.0
1740245970.4807086,42093,9.0
1740246389.350197,42594,9.0
1740246808.9412992,43095,9.0
1740247226.5789032,43596,10.0
1740247644.1436498,44097,10.0
1740248057.5633497,44598,9.0
1740248473.503738,45099,8.0
1740248871.9997573,45600,10.0
1740249253.7174761,46101,9.0
1740249631.8329895,46602,10.0
1740250005.7378526,47103,9.0
1740250386.1623802,47604,9.0
1740250767.921789,48105,10.0
