Wall time,Step,Value
1740045848.069661,510,-6.0
1740046097.8726525,1011,-6.0
1740046347.095284,1512,-6.0
1740046606.9482436,2013,0.0
1740046893.1667836,2514,-6.0
1740047183.2276835,3015,0.0
1740047451.829587,3516,-8.0
1740047719.6961725,4017,2.0
1740047996.3666193,4518,-6.0
1740048283.3732119,5019,-6.0
1740048585.1080377,5520,-6.0
1740048874.6931372,6021,-6.0
1740049149.8574405,6522,-6.0
1740049430.0764863,7023,-8.0
1740049712.8349795,7524,-8.0
1740049995.4467638,8025,-4.0
1740050274.8469372,8526,-6.0
1740050559.023608,9027,-6.0
1740050828.8360703,9528,-6.0
1740051102.778274,10029,-4.0
1740051383.2649975,10530,-8.0
1740051661.7822044,11031,-6.0
1740051946.4289382,11532,0.0
1740052219.343949,12033,-2.0
1740052506.355519,12534,-10.0
1740052802.4383452,13035,-6.0
1740053096.5538938,13536,4.0
1740053373.1558902,14037,-6.0
1740053655.7661545,14538,-4.0
1740053936.3067095,15039,2.0
1740054219.7944748,15540,-10.0
1740054499.9292974,16041,-6.0
1740054790.780337,16542,6.0
1740055076.6058254,17043,-10.0
1740055356.4766223,17544,-8.0
1740055636.511476,18045,-6.0
1740055914.6626186,18546,-10.0
1740056203.338687,19047,-6.0
1740056482.734339,19548,-10.0
1740056759.0586596,20049,-10.0
1740057044.1595147,20550,-2.0
1740057324.926175,21051,-8.0
1740057609.6592896,21552,-2.0
1740057892.3517125,22053,-6.0
1740058196.2756822,22554,6.0
1740058489.4490256,23055,-4.0
1740058782.6946352,23556,2.0
1740059081.332663,24057,0.0
1740059375.1579437,24558,-6.0
1740059675.7912917,25059,-4.0
1740059971.2181346,25560,2.0
1740060277.7572503,26061,-6.0
1740060578.0482318,26562,-8.0
1740060881.1883829,27063,2.0
1740061178.9360015,27564,-8.0
1740061478.664996,28065,0.0
1740061781.9668157,28566,4.0
1740062079.5316384,29067,-2.0
1740062376.3111086,29568,-2.0
1740062676.6998472,30069,0.0
1740062981.0464325,30570,2.0
1740063279.5476966,31071,-6.0
1740063583.3975275,31572,-6.0
1740063879.7365696,32073,0.0
1740064177.4422233,32574,2.0
1740064479.377843,33075,-2.0
1740064778.7854154,33576,2.0
1740065086.036889,34077,-6.0
1740065390.7959578,34578,-2.0
1740065695.5068622,35079,2.0
1740066007.4344895,35580,-4.0
1740066317.218502,36081,0.0
1740066624.0979762,36582,0.0
1740066928.8362665,37083,-2.0
1740067229.0775309,37584,-4.0
1740067548.947512,38085,-2.0
1740067874.0668159,38586,6.0
1740068201.2532923,39087,0.0
1740068507.2004356,39588,-6.0
1740068814.424719,40089,-2.0
1740069123.3900504,40590,-2.0
1740069428.7042089,41091,0.0
1740069739.1547008,41592,0.0
1740070047.6727052,42093,4.0
1740070356.8216624,42594,0.0
1740070668.728573,43095,8.0
1740070982.8288732,43596,-2.0
1740071280.409731,44097,-4.0
1740071561.0456316,44598,-6.0
1740071851.8213148,45099,-2.0
1740072140.4109921,45600,-4.0
1740072432.51406,46101,0.0
1740072725.5639174,46602,-2.0
1740073026.3304179,47103,4.0
1740073329.5013223,47604,6.0
1740073631.3553298,48105,2.0
1740073946.2536993,48606,2.0
1740074269.5252438,49107,0.0
1740074591.8730025,49608,2.0
1740074889.0524683,50109,-6.0
1740075183.3834014,50610,4.0
1740075481.0147161,51111,-2.0
1740075778.278674,51612,-4.0
1740076081.4737785,52113,-2.0
1740076381.5154958,52614,2.0
1740076683.7363367,53115,6.0
1740076986.8485527,53616,4.0
1740077292.9759848,54117,2.0
1740077588.6723778,54618,-4.0
1740077885.5920796,55119,2.0
1740078180.255766,55620,-2.0
1740078470.3232243,56121,0.0
1740078762.9638646,56622,-4.0
1740079051.6657743,57123,-4.0
1740079346.4842868,57624,0.0
1740079638.3261027,58125,-4.0
1740079930.3128388,58626,-2.0
1740080227.698698,59127,-4.0
1740080525.0532706,59628,4.0
1740080817.4530466,60129,4.0
1740081116.915557,60630,2.0
1740081411.7449677,61131,-2.0
1740081706.545432,61632,0.0
1740081999.8727689,62133,0.0
1740082293.0955546,62634,-4.0
1740082589.1108842,63135,0.0
1740082887.7529497,63636,4.0
1740083189.035172,64137,-2.0
1740083485.767744,64638,-4.0
1740083783.9688187,65139,2.0
1740084086.1799412,65640,8.0
1740084384.7565174,66141,0.0
1740084681.741812,66642,0.0
1740084978.6782095,67143,2.0
1740085280.952086,67644,2.0
1740085580.9432309,68145,-2.0
1740085854.3291934,68646,4.0
1740086126.4235551,69147,-2.0
1740086391.3688438,69648,2.0
1740086654.447726,70149,0.0
1740086915.3259392,70650,0.0
1740087187.4810863,71151,8.0
