Wall time,Step,Value
1740043188.791746,510,10.0
1740043435.0857463,1011,10.0
1740043667.9042463,1512,10.0
1740043905.157247,2013,2.0
1740044143.8847485,2514,2.0
1740044378.3392467,3015,-2.0
1740044612.9137487,3516,2.0
1740044842.4262464,4017,6.0
1740045072.7567463,4518,2.0
1740045296.0342462,5019,-2.0
1740045520.8852468,5520,2.0
1740045746.8322463,6021,2.0
1740045977.720746,6522,10.0
1740046205.525749,7023,-2.0
1740046436.6462464,7524,10.0
1740046661.6072462,8025,6.0
1740046889.3932467,8526,6.0
1740047117.8297462,9027,10.0
1740047349.8782492,9528,10.0
1740047587.9322476,10029,10.0
1740047825.335246,10530,10.0
1740048065.1177468,11031,-6.0
1740048303.427246,11532,-2.0
1740048541.2827477,12033,-6.0
1740048781.6717467,12534,10.0
1740049020.9122467,13035,2.0
1740049260.5812476,13536,2.0
1740049505.2472463,14037,-2.0
1740049744.1507466,14538,2.0
1740049983.7942467,15039,10.0
1740050221.9902484,15540,6.0
1740050461.232747,16041,10.0
1740050702.6042466,16542,10.0
1740050941.8262465,17043,10.0
1740051178.4922466,17544,6.0
1740051413.3537462,18045,8.0
1740051654.7562506,18546,6.0
1740051891.9017467,19047,6.0
1740052127.2657466,19548,10.0
1740052361.655746,20049,10.0
1740052594.728246,20550,10.0
1740052829.1677473,21051,10.0
1740053067.1732469,21552,2.0
1740053305.3477468,22053,-6.0
1740053544.8882468,22554,-2.0
1740053800.281247,23055,10.0
1740054053.5157456,23556,10.0
1740054313.6412458,24057,10.0
1740054579.4187465,24558,-10.0
1740054893.6182466,25059,-2.0
1740055113.4337466,25560,-2.0
1740055328.594746,26061,2.0
1740055549.3982468,26562,10.0
1740055767.7662477,27063,2.0
1740055992.8987467,27564,10.0
1740056215.0477464,28065,10.0
1740056437.9097464,28566,10.0
1740056655.766246,29067,-2.0
1740056873.377746,29568,2.0
1740057093.392746,30069,-6.0
1740057313.6822512,30570,-6.0
1740057526.542746,31071,-6.0
1740057736.8827465,31572,-6.0
1740057956.190246,32073,-6.0
1740058176.1972466,32574,0.0
1740058402.2617464,33075,6.0
1740058620.5612476,33576,-6.0
1740058838.9732468,34077,-10.0
1740059058.6652465,34578,-6.0
1740059281.0722466,35079,6.0
1740059504.1307461,35580,-2.0
1740059724.9832478,36081,10.0
1740059939.208746,36582,2.0
1740060152.9782465,37083,-6.0
1740060367.8322463,37584,10.0
1740060577.729246,38085,6.0
1740060787.5847468,38586,10.0
1740060997.559746,39087,10.0
1740061211.8152463,39588,2.0
1740061424.6717465,40089,6.0
1740061638.3627474,40590,2.0
1740061847.9362462,41091,10.0
1740062056.2012467,41592,10.0
1740062260.6597476,42093,10.0
1740062467.4342473,42594,10.0
1740062674.351746,43095,10.0
1740062882.2677462,43596,10.0
1740063090.5027466,44097,-6.0
1740063299.1267474,44598,-10.0
1740063507.3242466,45099,-6.0
1740063715.963246,45600,4.0
